source,target,value
Sciences: Biological & Physical0,Comp. Sci. & Mathematics1,465
Sciences: Biological & Physical0,Education1,428
Sciences: Biological & Physical0,Eng. Tech. & Drafting1,115
Sciences: Biological & Physical0,Engineering1,2098
Sciences: Biological & Physical0,English & Foreign Lang.1,240
Sciences: Biological & Physical0,Health Admin. & Assisting1,172
Sciences: Biological & Physical0,Health Sci. & Techno.1,1897
Sciences: Biological & Physical0,"Philosophy, Religion, & Theology1",53
Sciences: Biological & Physical0,"Repair, Production, & Construction1",71
Sciences: Biological & Physical0,Sciences: Biological & Physical1,12956
Sciences: Biological & Physical0,Social Sciences & Law1,1244
Sciences: Biological & Physical1,Agric. & Nat. Res. Cons2,405
Sciences: Biological & Physical1,Architecture2,23
Sciences: Biological & Physical1,"Area, Eth. & Multidiscip. Studies2",21
Sciences: Biological & Physical1,Arts: Visual & Performing2,211
Sciences: Biological & Physical1,Business2,1185
Sciences: Biological & Physical1,"Commun, Fam., & Personal Svcs2",1191
Sciences: Biological & Physical1,Communications2,264
Sciences: Biological & Physical1,Comp. Sci. & Mathematics2,398
Sciences: Biological & Physical1,Education2,547
Sciences: Biological & Physical1,Eng. Tech. & Drafting2,75
Sciences: Biological & Physical1,Engineering2,514
Sciences: Biological & Physical1,English & Foreign Lang.2,305
Sciences: Biological & Physical1,Health Admin. & Assisting2,151
Sciences: Biological & Physical1,Health Sci. & Techno.2,1580
Sciences: Biological & Physical1,"Philosophy, Religion, & Theology2",49
Sciences: Biological & Physical1,"Repair, Production, & Construction2",23
Sciences: Biological & Physical1,Sciences: Biological & Physical2,27753
Sciences: Biological & Physical1,Social Sciences & Law2,1754
Social Sciences & Law0,Agric. & Nat. Res. Cons1,187
Social Sciences & Law0,Architecture1,28
Social Sciences & Law0,"Area, Eth. & Multidiscip. Studies1",55
Social Sciences & Law0,Arts: Visual & Performing1,450
Social Sciences & Law0,Business1,2594
Social Sciences & Law0,"Commun, Fam., & Personal Svcs1",4058
Social Sciences & Law0,Communications1,657
Social Sciences & Law0,Comp. Sci. & Mathematics1,293
Social Sciences & Law0,Education1,683
Social Sciences & Law0,Eng. Tech. & Drafting1,87
Social Sciences & Law0,Engineering1,472
Social Sciences & Law0,English & Foreign Lang.1,490
Social Sciences & Law0,Health Admin. & Assisting1,78
Social Sciences & Law0,Health Sci. & Techno.1,950
Social Sciences & Law0,"Philosophy, Religion, & Theology1",139
Social Sciences & Law0,"Repair, Production, & Construction1",73
Social Sciences & Law0,Sciences: Biological & Physical1,1174
Social Sciences & Law0,Social Sciences & Law1,10444
Social Sciences & Law1,Agric. & Nat. Res. Cons2,77
Social Sciences & Law1,Architecture2,17
Social Sciences & Law1,"Area, Eth. & Multidiscip. Studies2",34
Social Sciences & Law1,Arts: Visual & Performing2,182
Social Sciences & Law1,Business2,1021
Social Sciences & Law1,"Commun, Fam., & Personal Svcs2",974
Social Sciences & Law1,Communications2,424
Social Sciences & Law1,Comp. Sci. & Mathematics2,128
Social Sciences & Law1,Education2,428
Social Sciences & Law1,Eng. Tech. & Drafting2,16
Social Sciences & Law1,Engineering2,62
Social Sciences & Law1,English & Foreign Lang.2,266
Social Sciences & Law1,Health Admin. & Assisting2,44
Social Sciences & Law1,Health Sci. & Techno.2,348
Social Sciences & Law1,"Philosophy, Religion, & Theology2",83
Social Sciences & Law1,"Repair, Production, & Construction2",10
Social Sciences & Law1,Sciences: Biological & Physical2,402
Social Sciences & Law1,Social Sciences & Law2,17178
