T0,T1,T2,count
Health Sci. & Techno.0,Education1,Social Sciences & Law2,58
Health Sci. & Techno.0,Education1,"Repair, Production, & Construction2",2
Health Sci. & Techno.0,Education1,Communications2,24
Health Sci. & Techno.0,Education1,Engineering2,7
Health Sci. & Techno.0,Education1,"Commun, Fam., & Personal Svcs2",167
Health Sci. & Techno.0,Education1,Architecture2,2
Health Sci. & Techno.0,Education1,Health Admin. & Assisting2,22
Health Sci. & Techno.0,Education1,Agric. & Nat. Res. Cons2,16
Health Sci. & Techno.0,Education1,Education2,1613
Health Sci. & Techno.0,Education1,Arts: Visual & Performing2,15
Health Sci. & Techno.0,Arts: Visual & Performing1,"Philosophy, Religion, & Theology2",1
Health Sci. & Techno.0,Arts: Visual & Performing1,Sciences: Biological & Physical2,24
Health Sci. & Techno.0,Arts: Visual & Performing1,Health Sci. & Techno.2,12
Health Sci. & Techno.0,Arts: Visual & Performing1,"Area, Eth. & Multidiscip. Studies2",1
Health Sci. & Techno.0,Arts: Visual & Performing1,Business2,22
Health Sci. & Techno.0,Arts: Visual & Performing1,Eng. Tech. & Drafting2,1
Health Sci. & Techno.0,Arts: Visual & Performing1,English & Foreign Lang.2,5
Health Sci. & Techno.0,Arts: Visual & Performing1,Comp. Sci. & Mathematics2,7
Health Sci. & Techno.0,Arts: Visual & Performing1,Social Sciences & Law2,20
Health Sci. & Techno.0,Arts: Visual & Performing1,Communications2,14
Health Sci. & Techno.0,Arts: Visual & Performing1,Engineering2,4
Health Sci. & Techno.0,Arts: Visual & Performing1,"Commun, Fam., & Personal Svcs2",19
Health Sci. & Techno.0,Arts: Visual & Performing1,Architecture2,1
Health Sci. & Techno.0,Arts: Visual & Performing1,Health Admin. & Assisting2,6
Health Sci. & Techno.0,Arts: Visual & Performing1,Education2,14
Health Sci. & Techno.0,Arts: Visual & Performing1,Arts: Visual & Performing2,407
"Area, Eth. & Multidiscip. Studies0",Sciences: Biological & Physical1,Sciences: Biological & Physical2,9
"Area, Eth. & Multidiscip. Studies0",Sciences: Biological & Physical1,Arts: Visual & Performing2,1
"Area, Eth. & Multidiscip. Studies0",Health Sci. & Techno.1,Health Sci. & Techno.2,3
"Area, Eth. & Multidiscip. Studies0",Health Sci. & Techno.1,Social Sciences & Law2,1
"Area, Eth. & Multidiscip. Studies0","Area, Eth. & Multidiscip. Studies1","Area, Eth. & Multidiscip. Studies2",12
"Area, Eth. & Multidiscip. Studies0","Area, Eth. & Multidiscip. Studies1",Business2,1
"Area, Eth. & Multidiscip. Studies0","Area, Eth. & Multidiscip. Studies1",English & Foreign Lang.2,1
"Area, Eth. & Multidiscip. Studies0","Area, Eth. & Multidiscip. Studies1",Social Sciences & Law2,1
"Area, Eth. & Multidiscip. Studies0","Area, Eth. & Multidiscip. Studies1","Commun, Fam., & Personal Svcs2",1
"Area, Eth. & Multidiscip. Studies0",Business1,Health Sci. & Techno.2,1
"Area, Eth. & Multidiscip. Studies0",Business1,Business2,12
"Area, Eth. & Multidiscip. Studies0",Business1,Social Sciences & Law2,1
"Area, Eth. & Multidiscip. Studies0",Business1,Communications2,1
"Area, Eth. & Multidiscip. Studies0",Business1,"Commun, Fam., & Personal Svcs2",1
"Area, Eth. & Multidiscip. Studies0",English & Foreign Lang.1,English & Foreign Lang.2,14
"Area, Eth. & Multidiscip. Studies0",English & Foreign Lang.1,Comp. Sci. & Mathematics2,1
"Area, Eth. & Multidiscip. Studies0",English & Foreign Lang.1,Social Sciences & Law2,1
"Area, Eth. & Multidiscip. Studies0",Comp. Sci. & Mathematics1,Comp. Sci. & Mathematics2,3
"Area, Eth. & Multidiscip. Studies0",Comp. Sci. & Mathematics1,"Commun, Fam., & Personal Svcs2",2
"Area, Eth. & Multidiscip. Studies0",Comp. Sci. & Mathematics1,Education2,1
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,"Philosophy, Religion, & Theology2",1
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,Business2,1
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,Eng. Tech. & Drafting2,1
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,English & Foreign Lang.2,1
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,Social Sciences & Law2,46
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,Communications2,1
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,"Commun, Fam., & Personal Svcs2",1
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,Agric. & Nat. Res. Cons2,1
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,Arts: Visual & Performing2,1
"Area, Eth. & Multidiscip. Studies0","Repair, Production, & Construction1",Business2,1
"Area, Eth. & Multidiscip. Studies0","Repair, Production, & Construction1","Repair, Production, & Construction2",2
"Area, Eth. & Multidiscip. Studies0",Communications1,Communications2,5
"Area, Eth. & Multidiscip. Studies0",Engineering1,Comp. Sci. & Mathematics2,2
"Area, Eth. & Multidiscip. Studies0",Engineering1,Engineering2,1
"Area, Eth. & Multidiscip. Studies0",Engineering1,Architecture2,1
"Area, Eth. & Multidiscip. Studies0","Commun, Fam., & Personal Svcs1",English & Foreign Lang.2,1
"Area, Eth. & Multidiscip. Studies0","Commun, Fam., & Personal Svcs1",Social Sciences & Law2,1
"Area, Eth. & Multidiscip. Studies0","Commun, Fam., & Personal Svcs1","Commun, Fam., & Personal Svcs2",12
"Area, Eth. & Multidiscip. Studies0",Architecture1,Architecture2,1
"Area, Eth. & Multidiscip. Studies0",Architecture1,Arts: Visual & Performing2,1
"Area, Eth. & Multidiscip. Studies0",Health Admin. & Assisting1,Health Admin. & Assisting2,1
"Area, Eth. & Multidiscip. Studies0",Agric. & Nat. Res. Cons1,Agric. & Nat. Res. Cons2,3
"Area, Eth. & Multidiscip. Studies0",Education1,Communications2,1
"Area, Eth. & Multidiscip. Studies0",Education1,Education2,5
"Area, Eth. & Multidiscip. Studies0",Arts: Visual & Performing1,Arts: Visual & Performing2,7
Business0,"Philosophy, Religion, & Theology1","Philosophy, Religion, & Theology2",36
Business0,"Philosophy, Religion, & Theology1",Sciences: Biological & Physical2,1
Business0,"Philosophy, Religion, & Theology1",Business2,9
Business0,"Philosophy, Religion, & Theology1",English & Foreign Lang.2,1
Business0,"Philosophy, Religion, & Theology1",Comp. Sci. & Mathematics2,1
Business0,"Philosophy, Religion, & Theology1",Social Sciences & Law2,8
Business0,"Philosophy, Religion, & Theology1",Communications2,1
Business0,"Philosophy, Religion, & Theology1","Commun, Fam., & Personal Svcs2",1
Business0,"Philosophy, Religion, & Theology1",Education2,2
Business0,Sciences: Biological & Physical1,"Philosophy, Religion, & Theology2",1
Business0,Sciences: Biological & Physical1,Sciences: Biological & Physical2,399
Business0,Sciences: Biological & Physical1,Health Sci. & Techno.2,22
Business0,Sciences: Biological & Physical1,Business2,86
Business0,Sciences: Biological & Physical1,Eng. Tech. & Drafting2,5
Business0,Sciences: Biological & Physical1,English & Foreign Lang.2,2
Business0,Sciences: Biological & Physical1,Comp. Sci. & Mathematics2,11
Business0,Sciences: Biological & Physical1,Social Sciences & Law2,43
Business0,Sciences: Biological & Physical1,"Repair, Production, & Construction2",3
Business0,Sciences: Biological & Physical1,Communications2,12
Business0,Sciences: Biological & Physical1,Engineering2,8
Business0,Sciences: Biological & Physical1,"Commun, Fam., & Personal Svcs2",26
Business0,Sciences: Biological & Physical1,Architecture2,1
Business0,Sciences: Biological & Physical1,Health Admin. & Assisting2,3
Business0,Sciences: Biological & Physical1,Agric. & Nat. Res. Cons2,5
Business0,Sciences: Biological & Physical1,Education2,18
Business0,Sciences: Biological & Physical1,Arts: Visual & Performing2,1
Business0,Health Sci. & Techno.1,Sciences: Biological & Physical2,23
Business0,Health Sci. & Techno.1,Health Sci. & Techno.2,395
Business0,Health Sci. & Techno.1,Business2,71
Business0,Health Sci. & Techno.1,Eng. Tech. & Drafting2,1
Business0,Health Sci. & Techno.1,English & Foreign Lang.2,5
Business0,Health Sci. & Techno.1,Comp. Sci. & Mathematics2,1
Business0,Health Sci. & Techno.1,Social Sciences & Law2,26
Business0,Health Sci. & Techno.1,"Repair, Production, & Construction2",4
Business0,Health Sci. & Techno.1,Communications2,7
Business0,Health Sci. & Techno.1,Engineering2,1
Business0,Health Sci. & Techno.1,"Commun, Fam., & Personal Svcs2",40
Business0,Health Sci. & Techno.1,Health Admin. & Assisting2,11
Business0,Health Sci. & Techno.1,Agric. & Nat. Res. Cons2,3
Business0,Health Sci. & Techno.1,Education2,13
Business0,Health Sci. & Techno.1,Arts: Visual & Performing2,2
Business0,"Area, Eth. & Multidiscip. Studies1",Sciences: Biological & Physical2,1
Business0,"Area, Eth. & Multidiscip. Studies1","Area, Eth. & Multidiscip. Studies2",6
Business0,"Area, Eth. & Multidiscip. Studies1",Business2,5
Business0,"Area, Eth. & Multidiscip. Studies1",English & Foreign Lang.2,1
Business0,"Area, Eth. & Multidiscip. Studies1",Social Sciences & Law2,1
Business0,"Area, Eth. & Multidiscip. Studies1",Arts: Visual & Performing2,1
Business0,Business1,"Philosophy, Religion, & Theology2",12
Business0,Business1,Sciences: Biological & Physical2,67
Business0,Business1,Health Sci. & Techno.2,65
Business0,Business1,"Area, Eth. & Multidiscip. Studies2",9
Business0,Business1,Business2,17340
Business0,Business1,Eng. Tech. & Drafting2,40
Business0,Business1,English & Foreign Lang.2,58
Business0,Business1,Comp. Sci. & Mathematics2,127
Business0,Business1,Social Sciences & Law2,341
Business0,Business1,"Repair, Production, & Construction2",29
Business0,Business1,Communications2,327
Business0,Business1,Engineering2,59
Business0,Business1,"Commun, Fam., & Personal Svcs2",374
Business0,Business1,Architecture2,12
Business0,Business1,Health Admin. & Assisting2,26
Business0,Business1,Agric. & Nat. Res. Cons2,54
Business0,Business1,Education2,130
Business0,Business1,Arts: Visual & Performing2,84
Business0,Eng. Tech. & Drafting1,Sciences: Biological & Physical2,3
Business0,Eng. Tech. & Drafting1,Health Sci. & Techno.2,2
Business0,Eng. Tech. & Drafting1,Business2,21
Business0,Eng. Tech. & Drafting1,Eng. Tech. & Drafting2,159
Business0,Eng. Tech. & Drafting1,Comp. Sci. & Mathematics2,6
Business0,Eng. Tech. & Drafting1,Social Sciences & Law2,1
Business0,Eng. Tech. & Drafting1,"Repair, Production, & Construction2",9
Business0,Eng. Tech. & Drafting1,Communications2,1
Business0,Eng. Tech. & Drafting1,Engineering2,17
Business0,Eng. Tech. & Drafting1,"Commun, Fam., & Personal Svcs2",2
Business0,Eng. Tech. & Drafting1,Agric. & Nat. Res. Cons2,2
Business0,Eng. Tech. & Drafting1,Education2,1
Business0,English & Foreign Lang.1,"Philosophy, Religion, & Theology2",1
Business0,English & Foreign Lang.1,Health Sci. & Techno.2,3
Business0,English & Foreign Lang.1,Business2,16
Business0,English & Foreign Lang.1,English & Foreign Lang.2,112
Business0,English & Foreign Lang.1,Comp. Sci. & Mathematics2,5
Business0,English & Foreign Lang.1,Social Sciences & Law2,10
Business0,English & Foreign Lang.1,"Repair, Production, & Construction2",3
Business0,English & Foreign Lang.1,Communications2,16
Business0,English & Foreign Lang.1,"Commun, Fam., & Personal Svcs2",1
Business0,English & Foreign Lang.1,Education2,4
Business0,English & Foreign Lang.1,Arts: Visual & Performing2,1
Business0,Comp. Sci. & Mathematics1,Sciences: Biological & Physical2,10
Business0,Comp. Sci. & Mathematics1,Health Sci. & Techno.2,3
Business0,Comp. Sci. & Mathematics1,Business2,61
Business0,Comp. Sci. & Mathematics1,Eng. Tech. & Drafting2,2
Business0,Comp. Sci. & Mathematics1,English & Foreign Lang.2,3
Business0,Comp. Sci. & Mathematics1,Comp. Sci. & Mathematics2,355
Business0,Comp. Sci. & Mathematics1,Social Sciences & Law2,10
Business0,Comp. Sci. & Mathematics1,"Repair, Production, & Construction2",3
Business0,Comp. Sci. & Mathematics1,Communications2,4
Business0,Comp. Sci. & Mathematics1,Engineering2,8
Business0,Comp. Sci. & Mathematics1,"Commun, Fam., & Personal Svcs2",5
Business0,Comp. Sci. & Mathematics1,Health Admin. & Assisting2,1
Business0,Comp. Sci. & Mathematics1,Agric. & Nat. Res. Cons2,4
Business0,Comp. Sci. & Mathematics1,Education2,6
Business0,Comp. Sci. & Mathematics1,Arts: Visual & Performing2,2
Business0,Social Sciences & Law1,"Philosophy, Religion, & Theology2",7
Business0,Social Sciences & Law1,Sciences: Biological & Physical2,11
Business0,Social Sciences & Law1,Health Sci. & Techno.2,17
Business0,Social Sciences & Law1,"Area, Eth. & Multidiscip. Studies2",2
Business0,Social Sciences & Law1,Business2,185
Business0,Social Sciences & Law1,Eng. Tech. & Drafting2,5
Business0,Social Sciences & Law1,English & Foreign Lang.2,16
Business0,Social Sciences & Law1,Comp. Sci. & Mathematics2,11
Business0,Social Sciences & Law1,Social Sciences & Law2,1075
Business0,Social Sciences & Law1,Communications2,49
Business0,Social Sciences & Law1,Engineering2,6
Business0,Social Sciences & Law1,"Commun, Fam., & Personal Svcs2",50
Business0,Social Sciences & Law1,Architecture2,1
Business0,Social Sciences & Law1,Health Admin. & Assisting2,3
Business0,Social Sciences & Law1,Agric. & Nat. Res. Cons2,4
Business0,Social Sciences & Law1,Education2,15
Business0,Social Sciences & Law1,Arts: Visual & Performing2,5
Business0,"Repair, Production, & Construction1",Health Sci. & Techno.2,1
Business0,"Repair, Production, & Construction1",Business2,12
Business0,"Repair, Production, & Construction1",Eng. Tech. & Drafting2,4
Business0,"Repair, Production, & Construction1",Comp. Sci. & Mathematics2,2
Business0,"Repair, Production, & Construction1",Social Sciences & Law2,1
Business0,"Repair, Production, & Construction1","Repair, Production, & Construction2",156
Business0,"Repair, Production, & Construction1",Engineering2,4
Business0,"Repair, Production, & Construction1","Commun, Fam., & Personal Svcs2",2
Business0,"Repair, Production, & Construction1",Agric. & Nat. Res. Cons2,3
Business0,Communications1,"Philosophy, Religion, & Theology2",1
Business0,Communications1,Sciences: Biological & Physical2,4
Business0,Communications1,Health Sci. & Techno.2,2
Business0,Communications1,Business2,59
Business0,Communications1,Eng. Tech. & Drafting2,2
Business0,Communications1,English & Foreign Lang.2,13
Business0,Communications1,Comp. Sci. & Mathematics2,3
Business0,Communications1,Social Sciences & Law2,23
Business0,Communications1,Communications2,641
Business0,Communications1,"Commun, Fam., & Personal Svcs2",14
Business0,Communications1,Health Admin. & Assisting2,2
Business0,Communications1,Agric. & Nat. Res. Cons2,2
Business0,Communications1,Education2,4
Business0,Communications1,Arts: Visual & Performing2,21
Business0,Engineering1,Sciences: Biological & Physical2,13
Business0,Engineering1,Health Sci. & Techno.2,4
Business0,Engineering1,Business2,106
Business0,Engineering1,Eng. Tech. & Drafting2,14
Business0,Engineering1,English & Foreign Lang.2,1
Business0,Engineering1,Comp. Sci. & Mathematics2,22
Business0,Engineering1,Social Sciences & Law2,13
Business0,Engineering1,"Repair, Production, & Construction2",5
Business0,Engineering1,Communications2,5
Business0,Engineering1,Engineering2,682
Business0,Engineering1,"Commun, Fam., & Personal Svcs2",13
Business0,Engineering1,Architecture2,2
Business0,Engineering1,Health Admin. & Assisting2,1
Business0,Engineering1,Agric. & Nat. Res. Cons2,7
Business0,Engineering1,Education2,7
Business0,Engineering1,Arts: Visual & Performing2,5
Business0,"Commun, Fam., & Personal Svcs1",Sciences: Biological & Physical2,18
Business0,"Commun, Fam., & Personal Svcs1",Health Sci. & Techno.2,23
Business0,"Commun, Fam., & Personal Svcs1",Business2,168
Business0,"Commun, Fam., & Personal Svcs1",Eng. Tech. & Drafting2,6
Business0,"Commun, Fam., & Personal Svcs1",English & Foreign Lang.2,1
Business0,"Commun, Fam., & Personal Svcs1",Comp. Sci. & Mathematics2,5
Business0,"Commun, Fam., & Personal Svcs1",Social Sciences & Law2,35
Business0,"Commun, Fam., & Personal Svcs1","Repair, Production, & Construction2",4
Business0,"Commun, Fam., & Personal Svcs1",Communications2,17
Business0,"Commun, Fam., & Personal Svcs1",Engineering2,3
Business0,"Commun, Fam., & Personal Svcs1","Commun, Fam., & Personal Svcs2",1248
Business0,"Commun, Fam., & Personal Svcs1",Health Admin. & Assisting2,5
Business0,"Commun, Fam., & Personal Svcs1",Agric. & Nat. Res. Cons2,6
Business0,"Commun, Fam., & Personal Svcs1",Education2,28
Business0,"Commun, Fam., & Personal Svcs1",Arts: Visual & Performing2,8
Business0,Architecture1,Business2,2
Business0,Architecture1,Communications2,2
Business0,Architecture1,Engineering2,1
Business0,Architecture1,Architecture2,22
Business0,Architecture1,Arts: Visual & Performing2,1
Business0,Health Admin. & Assisting1,Sciences: Biological & Physical2,3
Business0,Health Admin. & Assisting1,Health Sci. & Techno.2,6
Business0,Health Admin. & Assisting1,Business2,16
Business0,Health Admin. & Assisting1,Eng. Tech. & Drafting2,1
Business0,Health Admin. & Assisting1,Comp. Sci. & Mathematics2,2
Business0,Health Admin. & Assisting1,Social Sciences & Law2,3
Business0,Health Admin. & Assisting1,"Repair, Production, & Construction2",2
Business0,Health Admin. & Assisting1,Communications2,1
Business0,Health Admin. & Assisting1,"Commun, Fam., & Personal Svcs2",5
Business0,Health Admin. & Assisting1,Health Admin. & Assisting2,68
Business0,Health Admin. & Assisting1,Agric. & Nat. Res. Cons2,1
Business0,Health Admin. & Assisting1,Arts: Visual & Performing2,1
Business0,Agric. & Nat. Res. Cons1,Sciences: Biological & Physical2,6
Business0,Agric. & Nat. Res. Cons1,Health Sci. & Techno.2,1
Business0,Agric. & Nat. Res. Cons1,Business2,28
Business0,Agric. & Nat. Res. Cons1,Eng. Tech. & Drafting2,6
Business0,Agric. & Nat. Res. Cons1,Comp. Sci. & Mathematics2,1
Business0,Agric. & Nat. Res. Cons1,Social Sciences & Law2,3
Business0,Agric. & Nat. Res. Cons1,"Repair, Production, & Construction2",1
Business0,Agric. & Nat. Res. Cons1,Communications2,5
Business0,Agric. & Nat. Res. Cons1,Engineering2,1
Business0,Agric. & Nat. Res. Cons1,"Commun, Fam., & Personal Svcs2",12
Business0,Agric. & Nat. Res. Cons1,Architecture2,1
Business0,Agric. & Nat. Res. Cons1,Health Admin. & Assisting2,1
Business0,Agric. & Nat. Res. Cons1,Agric. & Nat. Res. Cons2,271
Business0,Agric. & Nat. Res. Cons1,Education2,2
Business0,Education1,"Philosophy, Religion, & Theology2",4
Business0,Education1,Sciences: Biological & Physical2,6
Business0,Education1,Health Sci. & Techno.2,12
Business0,Education1,Business2,69
Business0,Education1,Eng. Tech. & Drafting2,1
Business0,Education1,English & Foreign Lang.2,5
Business0,Education1,Comp. Sci. & Mathematics2,3
Business0,Education1,Social Sciences & Law2,23
Business0,Education1,"Repair, Production, & Construction2",1
Business0,Education1,Communications2,14
Business0,Education1,Engineering2,1
Business0,Education1,"Commun, Fam., & Personal Svcs2",24
Business0,Education1,Health Admin. & Assisting2,3
Business0,Education1,Agric. & Nat. Res. Cons2,3
Business0,Education1,Education2,378
Business0,Education1,Arts: Visual & Performing2,4
Business0,Arts: Visual & Performing1,Sciences: Biological & Physical2,1
Business0,Arts: Visual & Performing1,Health Sci. & Techno.2,2
Business0,Arts: Visual & Performing1,Business2,49
Business0,Arts: Visual & Performing1,Eng. Tech. & Drafting2,2
Business0,Arts: Visual & Performing1,Comp. Sci. & Mathematics2,4
Business0,Arts: Visual & Performing1,Social Sciences & Law2,7
Business0,Arts: Visual & Performing1,"Repair, Production, & Construction2",1
Business0,Arts: Visual & Performing1,Communications2,17
Business0,Arts: Visual & Performing1,Engineering2,2
Business0,Arts: Visual & Performing1,"Commun, Fam., & Personal Svcs2",19
Business0,Arts: Visual & Performing1,Architecture2,1
Business0,Arts: Visual & Performing1,Agric. & Nat. Res. Cons2,2
Business0,Arts: Visual & Performing1,Education2,3
Business0,Arts: Visual & Performing1,Arts: Visual & Performing2,351
Eng. Tech. & Drafting0,"Philosophy, Religion, & Theology1","Philosophy, Religion, & Theology2",7
Eng. Tech. & Drafting0,"Philosophy, Religion, & Theology1",Education2,1
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Sciences: Biological & Physical2,118
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Health Sci. & Techno.2,4
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Business2,6
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Eng. Tech. & Drafting2,4
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,English & Foreign Lang.2,1
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Comp. Sci. & Mathematics2,8
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Social Sciences & Law2,2
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Communications2,2
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Engineering2,11
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,"Commun, Fam., & Personal Svcs2",9
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Architecture2,1
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Agric. & Nat. Res. Cons2,1
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Education2,3
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,Arts: Visual & Performing2,1
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Sciences: Biological & Physical2,2
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Health Sci. & Techno.2,37
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Business2,2
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Eng. Tech. & Drafting2,2
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Comp. Sci. & Mathematics2,1
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Social Sciences & Law2,1
Eng. Tech. & Drafting0,Health Sci. & Techno.1,"Repair, Production, & Construction2",2
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Communications2,1
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Engineering2,1
Eng. Tech. & Drafting0,Health Sci. & Techno.1,"Commun, Fam., & Personal Svcs2",7
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Agric. & Nat. Res. Cons2,1
Eng. Tech. & Drafting0,Health Sci. & Techno.1,Education2,1
Eng. Tech. & Drafting0,"Area, Eth. & Multidiscip. Studies1","Area, Eth. & Multidiscip. Studies2",1
Eng. Tech. & Drafting0,Business1,Sciences: Biological & Physical2,3
Eng. Tech. & Drafting0,Business1,Business2,210
Eng. Tech. & Drafting0,Business1,Eng. Tech. & Drafting2,8
Eng. Tech. & Drafting0,Business1,English & Foreign Lang.2,1
Eng. Tech. & Drafting0,Business1,Comp. Sci. & Mathematics2,3
Eng. Tech. & Drafting0,Business1,Social Sciences & Law2,3
Eng. Tech. & Drafting0,Business1,"Repair, Production, & Construction2",2
Eng. Tech. & Drafting0,Business1,Communications2,5
Eng. Tech. & Drafting0,Business1,Engineering2,7
Eng. Tech. & Drafting0,Business1,"Commun, Fam., & Personal Svcs2",2
Eng. Tech. & Drafting0,Business1,Architecture2,1
Eng. Tech. & Drafting0,Business1,Agric. & Nat. Res. Cons2,2
Eng. Tech. & Drafting0,Business1,Education2,2
Eng. Tech. & Drafting0,Business1,Arts: Visual & Performing2,1
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Sciences: Biological & Physical2,1
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Health Sci. & Techno.2,5
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Business2,14
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Eng. Tech. & Drafting2,472
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,English & Foreign Lang.2,1
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Comp. Sci. & Mathematics2,14
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Social Sciences & Law2,1
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,"Repair, Production, & Construction2",18
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Communications2,2
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Engineering2,27
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,"Commun, Fam., & Personal Svcs2",3
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Health Admin. & Assisting2,1
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Agric. & Nat. Res. Cons2,3
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Education2,3
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,Arts: Visual & Performing2,5
Eng. Tech. & Drafting0,English & Foreign Lang.1,Sciences: Biological & Physical2,1
Eng. Tech. & Drafting0,English & Foreign Lang.1,Business2,1
Eng. Tech. & Drafting0,English & Foreign Lang.1,English & Foreign Lang.2,3
Eng. Tech. & Drafting0,English & Foreign Lang.1,Engineering2,1
Eng. Tech. & Drafting0,English & Foreign Lang.1,"Commun, Fam., & Personal Svcs2",1
Eng. Tech. & Drafting0,English & Foreign Lang.1,Architecture2,1
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Sciences: Biological & Physical2,1
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Health Sci. & Techno.2,2
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Business2,20
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Eng. Tech. & Drafting2,7
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Comp. Sci. & Mathematics2,263
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Social Sciences & Law2,6
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,"Repair, Production, & Construction2",5
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Communications2,1
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Engineering2,12
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,"Commun, Fam., & Personal Svcs2",9
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Education2,2
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,Arts: Visual & Performing2,4
Eng. Tech. & Drafting0,Social Sciences & Law1,Sciences: Biological & Physical2,1
Eng. Tech. & Drafting0,Social Sciences & Law1,Health Sci. & Techno.2,1
Eng. Tech. & Drafting0,Social Sciences & Law1,Business2,2
Eng. Tech. & Drafting0,Social Sciences & Law1,Eng. Tech. & Drafting2,1
Eng. Tech. & Drafting0,Social Sciences & Law1,English & Foreign Lang.2,2
Eng. Tech. & Drafting0,Social Sciences & Law1,Comp. Sci. & Mathematics2,2
Eng. Tech. & Drafting0,Social Sciences & Law1,Social Sciences & Law2,45
Eng. Tech. & Drafting0,Social Sciences & Law1,Communications2,1
Eng. Tech. & Drafting0,Social Sciences & Law1,Engineering2,1
Eng. Tech. & Drafting0,Social Sciences & Law1,"Commun, Fam., & Personal Svcs2",5
Eng. Tech. & Drafting0,Social Sciences & Law1,Agric. & Nat. Res. Cons2,1
Eng. Tech. & Drafting0,Social Sciences & Law1,Education2,3
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",Sciences: Biological & Physical2,2
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",Business2,2
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",Eng. Tech. & Drafting2,8
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",Comp. Sci. & Mathematics2,2
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",Social Sciences & Law2,1
Eng. Tech. & Drafting0,"Repair, Production, & Construction1","Repair, Production, & Construction2",309
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",Engineering2,1
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",Agric. & Nat. Res. Cons2,1
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",Education2,1
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",Arts: Visual & Performing2,2
Eng. Tech. & Drafting0,Communications1,Sciences: Biological & Physical2,1
